student,Random_sample_mean,Judgement_sample_mean,Random_sample_std_deviation,Judgment_sample_std_deviation
1,6.2,3.4,4.73,1.67
2,7.4,10.6,6.74,10.21
3,7.2,7,8.9,7.9
4,7.6,6.6,8.62,6.54
5,3.2,7.4,0.58,4.17
6,7.2,7,8.899,7.9
7,6.2,8,8.32,9.08
8,3.8,1.92,2.6,0.89
9,4.8,3,2.22,2
10,6.4,7.8,9.29,9.17
11,3.2,3.6,0.58,0.68
12,7.4,10.8,6.7,9.9
13,2.8,1.64,8,9.08
14,11.6,7.2,11.44,9.04
15,2.8,1.64,8,9.08
16,11.8,7,12.56,9.11
17,10.6,8,10.039,9.028
18,2.8,6.4,0.812,7.21
19,2.6,6.6,1.51,7.6
20,2.4,7.2,0.89,7.33
